FinancialyearID,GroupingName,RegionName,DistrictName,MuncipalityName,GMName,Date,TotalAssesments,TotalDemand,TotalCollection,TotalBal,%Collection
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,ProfessionTax,2021-04-01T04:05:16.76,10232.0,99468614.0,43431150.0,56037464.0,43.66
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,PropertyTax,2021-04-01T04:04:53.097,160903.0,612574191.0,249209627.0,363364564.0,40.68
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,SUC Charges,2021-04-01T04:05:42.227,90297.0,96492089.0,57160888.0,39331201.0,59.24
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,UGD,2021-04-01T11:21:12.87,26582.0,110609782.0,10459188.0,100150594.0,9.46
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,VLTTax,2021-04-01T04:04:56.733,14120.0,117883008.0,28114941.0,89768067.0,23.85
2020-2021,Corporation,TIRUNELVELI ,TIRUNELVELI,TIRUNELVELI ,WaterSupply,2021-04-01T04:05:10.96,81500.0,270136086.66,87931866.0,182204220.66,32.55
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,NonTax,2021-04-01T04:05:14.22,776.0,134072498.0,20885446.0,113187052.0,15.58
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,ProfessionTax,2021-04-01T04:05:16.76,11246.0,51634918.0,29071318.0,22563600.0,56.3
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,PropertyTax,2021-11-22T14:00:56.213,258182.0,877345263.4,565333949.2,312011314.2,64.44
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,SUC Charges,2021-04-01T04:05:42.227,248219.0,105503028.0,58794288.0,46708740.0,55.73
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,UGD,2021-04-01T11:21:12.87,14100.0,18877915.0,6045324.0,12832591.0,32.02
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,VLTTax,2021-04-01T04:04:56.733,14819.0,51899236.0,14560160.0,37339076.0,28.05
2020-2021,Corporation,TIRUPPUR ,TIRUPPUR,TIRUPPUR ,WaterSupply,2021-04-01T04:05:05.38,195847.0,293500291.64,179188964.0,114311327.64,61.05
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,NonTax,2021-04-01T04:05:14.22,469.0,137070459.0,27540870.0,109529589.0,20.09
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,ProfessionTax,2021-04-01T04:05:16.76,2986.0,20362873.0,7836054.0,12526819.0,38.48
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,PropertyTax,2021-04-01T04:04:53.097,30614.0,99592183.0,34021010.0,65571173.0,34.16
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,SUC Charges,2021-04-01T04:05:47.913,30494.0,42999442.0,12121040.0,30878402.0,28.19
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,UGD,2021-04-01T11:21:12.87,12200.0,39074932.0,3275654.0,35799278.0,8.38
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,VLTTax,2021-04-01T04:04:56.733,2414.0,27469184.0,3186226.0,24282958.0,11.6
2020-2021,Corporation,TIRUVANNAMALAI ,TIRUVANNAMALAI,TIRUVANNAMALAI ,WaterSupply,2021-04-01T04:05:05.38,19878.0,89046191.0,14569167.0,74477024.0,16.36
2020-2021,Corporation,VELLORE ,VELLORE,VELLORE ,NonTax,2021-04-01T04:05:13.13,1816.0,241436801.5,79560473.0,161876328.5,32.95
2020-2021,Corporation,VELLORE ,VELLORE,VELLORE ,ProfessionTax,2021-04-01T04:05:16.76,7825.0,127485711.0,74627472.0,52858239.0,58.54
2020-2021,Corporation,VELLORE ,VELLORE,VELLORE ,PropertyTax,2021-04-01T04:04:53.097,112865.0,462424961.71,198337491.57,264087470.14,42.89
2020-2021,Corporation,VELLORE ,VELLORE,VELLORE ,SUC Charges,2021-04-01T04:05:47.913,109350.0,70320709.5,36893931.7,33426777.8,52.47
2020-2021,Corporation,VELLORE ,VELLORE,VELLORE ,UGD,2021-04-01T11:21:12.87,4575.0,15073893.0,4875405.0,10198488.0,32.34
